category,title,link,price,currency,slot
Iphone 15,DYSON HP09 A/PURIFIER HOT+COLD,https://www.alifstores.com/dyson-hp09-a-purifier-hot-cold.html,3099.00,QAR,
Iphone 15,Dyson Purifier Humidify  Cool Autoreact (White/Silver),https://www.alifstores.com/dyson-purifier-humidifycool-autoreact-white-nickel.html,2999.00,QAR,Only 1 left
Iphone 15,Dyson V15 Detect Absolute Vaccum Cleaner Iron/Nickel,https://www.alifstores.com/dyson-v15-detect-absolute-vaccum-cleaner-iron-nickel.html,2999.00,QAR,
Iphone 15,Dyson Purifier Cool Formaldehyde™ TP09 purifying fan (Nickel/Gold),https://www.alifstores.com/dyson-air-purifier-cool-formaldehyde-white-gold.html,2799.00,QAR,Only 2 left
Iphone 15,Dyson Airwrap™ multi-styler Complete Long (Bright nickel and rich copper),https://www.alifstores.com/dyson-airwrap-multistyler-b-nickel-b-coppe.html,2499.00,QAR,Only 5 left
Iphone 15,Dyson Air-Wrap Multistyler (Gifting Edition),https://www.alifstores.com/dyson-air-wrap-multistyler-gifting-edition.html,2499.00,QAR,Only 3 left
Iphone 15,Dyson Airwrap Complete Hair Multi-Styler - Nickel & Copper,https://www.alifstores.com/dyson-airwrap-complete-hair-multi-styler-nickel-copper.html,2499.00,QAR,
Iphone 15,Dyson Purifier Cool Autoreact™ TP7A Purifying Fan (White/Nickel),https://www.alifstores.com/dyson-purifier-cool-autoreact-air-purifier-white-silver.html,2499.00,QAR,Only 3 left
Iphone 15,Dyson Airwrap Multistyler PBC Complete Long,https://www.alifstores.com/dyson-airwrap-multistyler-pbc-complete-long.html,2499.00,QAR,
Iphone 15,Dyson Airwrap Multi-Styler Long Barrel Special Edition HS05,https://www.alifstores.com/dyson-air-wrap-multistyler-gifting-edition-1.html,2399.00,QAR,
Iphone 15,  Canon PIXMA TS3340 Multi-Functional Printer,https://www.alifstores.com/canon-pixma-ts3340-multi-functional-printer.html,149.00,QAR,Only 2 left
Iphone 15,CANON PRINTER PIXMA MG3640S AIO BLACK,https://www.alifstores.com/canon-printer-pixma-mg3640s-aio-black.html,179.00,QAR,Only 1 left
Iphone 15,Canon PIXMA TS5340 All-in-One MFP,https://www.alifstores.com/canon-pixma-ts5340-all-in-one-mfp.html,219.00,QAR,
Iphone 15,Canon PIXMA TS6340 Multi-Functional Inkjet Printer,https://www.alifstores.com/canon-pixma-ts6340-multi-functional-inkjet-printer.html,469.00,QAR,Only 1 left
Iphone 15,Brother DCP-T420W A4 All-In-One Printer With Wireless And Mobile Printing,https://www.alifstores.com/brother-dcp-t420w-a4-all-in-one-printer-with-wireless-and-mobile-printing.html,479.00,QAR,Only 2 left
Iphone 15,Brother DCP-T220 A4 All-in One Ink Tank Refill System Printer,https://www.alifstores.com/brother-dcp-t-0-a4-all-in-one-ink-tank-refill-system-printer.html,509.00,QAR,Only 4 left
Iphone 15,Brother DCP-T520W A4 All-in One Ink Tank Refill System Printer with Built-in-Wireless Technology,https://www.alifstores.com/brother-dcp-t5-0w-a4-all-in-one-ink-tank-refill-system-printer-with-built-in-wireless-technology.html,549.00,QAR,Only 2 left
Iphone 15,Brother DCP-L2540DW Mono Laser Multi-Function Copier with Wireless Networking and Duplex Printing,https://www.alifstores.com/brother-dcp-l2540dw-laser-multi-function-copier-with-wireless-networking-and-duplex-printing.html,779.00,QAR,Only 1 left
Iphone 15,Brother DCP-T720DW A4 3 in 1 Wireless Ink Tank Printer,https://www.alifstores.com/brother-dcp-t7-0dw-a4-3-in-1-wireless-ink-tank-printer.html,949.00,QAR,Only 2 left
Iphone 15,Brother DCP-T820DW 3-in-1 Wireless Ink Tank Printer,https://www.alifstores.com/brother-dcp-t8-0dw-3-in-1-wireless-ink-tank-printer.html,999.00,QAR,Only 2 left
Iphone 15,HP LaserJet Tank 1502w Printer,https://www.alifstores.com/hp-laserjet-tank-150-w-printer.html,1079.00,QAR,Only 4 left
Iphone 15,Brother DCP-L3510CDW Wireless Color Laser Duplex Multi-function Printer,https://www.alifstores.com/brother-dcp-l3510cdw-wireless-color-laser-duplex-multi-function-printer.html,1149.00,QAR,Only 4 left
Iphone 15,CANON PRINTER MF655CDW,https://www.alifstores.com/canon-printer-mf655cdw.html,1199.00,QAR,Only 1 left
Iphone 15,HP LaserJet Tank MFP 1602w Printer (2R3E8A),https://www.alifstores.com/hp-laserjet-tank-mfp-160-w-printer-r3e8a.html,1249.00,QAR,Only 2 left
